(125)Dhobi,(7)Muslim Religious Khakrob,Dumar(19),Dhoba(18),(14)Kashikapdi,
(125)Lingayat Dhobi,(7)Muslim Religious Lalbeg,Ganda/Gandi(21),Dhodia(15),(15)Dombari,
(125)Lingayat Parit,(7)Muslim Religious Mehatar,Garoda/Garo(22),Dholi Bhil(8),(15)Kolhati,
(125)Madwal,,Garudi(46),Dhor Kathkari(21),(16)(A)Dangat,
(125)Pareet,,Ghasi/Ghasiya(23),Dhor Kathodi(21),(16)(B)Vir,
(125)Rajak,,Haadi(53),Dhulla(18),(16)Mairal,
(125)Telugu Madelwar(Parit),,Halalkhor(12),Dhuru(18),(17)(1)Sudgadsiddha,
(125)Vatti(Vatas),,Hallir(24),Dhurwa(18),(17)(2)Mapanjogi,
(126)Khatri,,Halsaar(25),Dongar Koli(29),(17)(3)Balasantu,
(126)Kshatriya,,HARALAYYA 11,Dorla(18),(17)(3)Sharadakar,
(126)Kshatriya Patkar,,HARALI 11,Dubla(16),(17)(3)Shardakal,
(126)Pategar,,Haslar(25),Dungri Bhil(8),(17)(3)Shardakar,
(126)Patewegar,,Hela (12),Dungri Garasia(8),(17)Masanjogi,
(126)Patkar,,Holar(26),Gaiki(18),(18)Nandiwale,
(126)Pattegar,,Holay(27),Gaita(18),(18)Tirmal,
(126)Patwekari,,Holaya dasar(16),Gamit(17),(19)Pangul,
(126)Patwi,,Holer(27),Gamta(17),(2)Beldar,
(126)Somwanshiy Sahastrarjun Kshatriya,,Holeya dasari(16),Gatta(18),(2)Bestar,
(127)Lingayat Phulari,,Holeya(27),Gatti(18),(2)Bukekari,
(127)Phulari,,Holiya(27),Gavit(17),(2)Kapewar,
(128)Rachevar,,Hulaswar(25),GOND(18),(2)Kumawat,
(129)Raikari,,Kaikadi (28),Gond-Gowari (18),(2)Memar,
(129)Rayikar,,Kakkayya(18),Halba(19),(2)Munnar Kapewar,
(13)Barai,,KAMATI MOCHI 11,HALBI(19),(2)Munnar Kapu,
(13)Bari,,Kanera(30),Halpati(16),(2)Musalman Raj,
(130)Bandi,,Kankayya(18),Hill Maria(18),(2)Muslim Beldar,
(131)Rachbandhia,,Karor(12),Ka Thakar(44),(2)Muslim Gavandi,
(132)Rangari,,Katiya(29),Ka Thakur(44),(2)Muslim Memar,
,,,,(2)Muslim Raj,
,,KHALAPA 11,,(2)Od,
(133)Rangrez,,Khalpa (11),Kalanga(18),(2)Pentreddy,
(134)Raot,,Khangar(30),KAMAR(20),(2)Sanchaluwaddar,
(134)Rautiya,,Khatik(31),Kandh(31),(2)Telanga,
(134)Rawat,,Kolupul-Vandalu(32),Kandra(18),(2)Telangi,
"(135)Rangrej(Bhawsar, Rangari)",,Kori(33),Kanwar(22),(20)Raul,
(14)Beria,,Lalbegi(12),Kapadia Nayaka(35),(20)Raval,
(140)Sanjogi,,Lingdor(34),Kathodi(21),(20)Raval Yogi,
(141)Saraniya,,Maang-Garodi(47),Katkari(21),(21)Cyclelgar,
(145)Sapaalig,,MACHIGAR 11,Kaur(22),(21)Kaatari -Shikalkar(Shiklikari) (Including Hindu Religious),
(145)Sapaaliga,,MADAR 11,Kawar(22),(21)Katari,
(145)Sapalig,,Madari(46),Khairwar(23),(21)Katari Shikaligaar,
(145)Sapaliga,,Madgi(35),Kharia(24),(21)Muslim Shikalgaar,
(145)Supalig,,Madig (11),Khatola(18),(21)Saikalgar,
(145)Suppalig,,MADIGA 11,Khirwar(18),(21)Saikalkar,
(145)Suppaliga,,Mahar ( 37 ),Khirwara(18),(21)Sekkalgar (Muslim Religious),
(145)Suppaling,,Mahyavanshi(38),Khond(31),(21)Shikalgaar,
(146)Sutharia (From Sindh),,Mala Dasari(40),Koilabhuta(18),(21)Shikaligaar,
